name,description,price,imageUrl
Pink Ribbed Polo Mini Dress,"This delightful pink polo mini dress features a ribbed knit texture that offers a flattering, body-hugging fit through the bodice and waist, flaring gently into a playful A-line skirt. The classic polo collar and button placket add a touch of sporty elegance, making it perfect for a cute yet comfortable everyday look. Style Vibe: Sweet Casual / Preppy Chic. Fit: Fitted at the bust and waist, with a subtle flare at the skirt. Stretchy ribbed material allows for comfort and movement. Material: Soft, stretchy ribbed knit (cotton blend). Care: Machine wash cold, gentle cycle. Matches Well With: Outerwear: A light denim jacket or a white cropped cardigan. Shoes: White sneakers, canvas trainers, or simple ballet flats. Accessories: A small cross-body bag in white or pastel shades, or a baseball cap for a sportier touch.",$55.00,Image11.png
Charcoal Grey Belted Shirt Dress,"This sophisticated charcoal grey shirt dress features a structured collar and full-length button placket, exuding a polished and modern aesthetic. Shoulder epaulets add a subtle utilitarian detail, while the matching adjustable belt cinches the waist to create a flattering silhouette. The long sleeves can be rolled up for a more relaxed look. Style Vibe: Office Chic / Modern Professional. Fit: Tailored, with a cinched waist that flares slightly into an A-line skirt. Material: Smooth, mid-weight polyester blend fabric. Care: Machine wash cold, hang to dry. Matches Well With: Outerwear: A structured blazer in black or a deep jewel tone, or a classic trench coat. Shoes: Pointed-toe ankle boots, sleek loafers, or elegant low block heels. Accessories: A structured leather tote bag or a minimalist clutch.",$78.00,Image12.png
Cream Halter Vest & Wide-Leg Trousers Set,"This coordinating cream set features a chic halter-neck vest with button-front detailing, paired with high-waisted, wide-leg trousers. The vest offers a flattering and bold silhouette, while the trousers provide a relaxed yet elegant drape, creating a modern and sophisticated look inspired by vintage aesthetics. Style Vibe: Boho Chic / Vintage Inspired. Fit: Vest is fitted and cropped; trousers are high-waisted and wide-leg. Material: Soft, textured corduroy or cotton blend. Care: Machine wash cold, delicate cycle. Matches Well With: Outerwear: A lightweight, open-front cardigan or a cropped denim jacket. Shoes: Platform sandals, espadrille wedges, or clean white sneakers. Accessories: A patterned shoulder bag (e.g., leopard print) or a bohemian-inspired floppy hat.",$110.00,Image13.png
Cropped Khaki Utility Jacket,"This versatile cropped khaki jacket blends military-inspired utility with a casual, modern cut. It features a broad collar, a full zip closure, and subtle shoulder epaulets, along with functional flap pockets. The cropped length makes it an ideal layering piece for high-waisted bottoms, offering a stylish and effortless silhouette. Style Vibe: Urban Utility / Casual Chic. Fit: Cropped, slightly oversized in the body. Material: Durable cotton twill. Care: Machine wash cold. Matches Well With: Bottoms: High-waisted jeans (as shown), cargo pants, or a mini skirt. Inner Tops: A simple white cropped t-shirt or a fitted tank top. Shoes: Combat boots, platform sneakers, or chunky loafers. Accessories: A canvas tote bag or a utilitarian-style cross-body bag.",$85.00,Image14.png
Black Ribbed Zip-Up Polo Top,"This sleek black top features a classic polo collar with a modern half-zip detail, allowing for adjustable neckline styling. Its ribbed knit construction ensures a flattering, form-fitting silhouette that accentuates the figure. The short sleeves and tailored fit make it a versatile piece for both casual and elevated everyday wear. Style Vibe: Minimalist Sporty / Casual Chic. Fit: Fitted and body-hugging due to ribbed material. Material: Soft, stretchy ribbed knit (cotton blend). Care: Machine wash cold, gentle cycle. Matches Well With: Bottoms: High-waisted jeans (as shown), tailored trousers, or a denim mini skirt. Outerwear: An oversized blazer for contrast, or a leather jacket. Shoes: White sneakers, chunky loafers, or ankle boots. Accessories: A minimalist shoulder bag or a small, sleek backpack.",$39.00,Image15.png
Bubblegum Pink Baggy Cargo Pants,"These eye-catching bubblegum pink cargo pants bring a playful and bold twist to the popular utilitarian trend. They feature multiple large cargo pockets and adjustable drawstring details at the waist and ankles, allowing for versatile styling. The extremely baggy fit ensures maximum comfort and a distinctive, fashion-forward silhouette. Style Vibe: Y2K Streetwear / Playful Utility. Fit: Extremely baggy and oversized throughout the leg, with adjustable cinching at waist and ankles. Material: Lightweight nylon or poly blend. Care: Machine wash cold, gentle cycle. Matches Well With: Tops: A cropped white tank top, an oversized graphic tee, or a fitted black long-sleeve top. Outerwear: A cropped hoodie or a short denim jacket. Shoes: Chunky platform sneakers, brightly colored trainers, or canvas high-tops. Accessories: A mini shoulder bag in a contrasting color or a bucket hat.",$72.00,Image16.png
Dusty Rose Pleated Midi Dress,"This elegant dusty rose midi dress features a classic collared neckline with a subtle button placket, and charming short sleeves. The fitted bodice cinches at the waist with a subtle belt detail, flowing into a beautifully pleated A-line skirt that creates a graceful silhouette. This dress combines timeless charm with modern sophistication. Style Vibe: Vintage Feminine / Classic Elegance. Fit: Fitted bodice with a cinched waist, flowing into a pleated A-line midi skirt. Material: Smooth, structured polyester blend fabric. Care: Dry clean recommended or hand wash cold. Matches Well With: Outerwear: A tailored trench coat or a delicate long cardigan. Shoes: Pointed-toe heels, classic ballet flats, or elegant block heels. Accessories: A structured top-handle bag in white or cream, or a delicate fascinator for formal events.",$95.00,Image17.png
White Ruffled Waist Midi Skirt,"This crisp white midi skirt offers a blend of comfort and understated elegance. It features a subtly ruffled elasticated waistband, providing a comfortable fit, and practical side pockets. The A-line silhouette ensures a flattering drape and ease of movement, making it a versatile piece for a relaxed yet refined look. Style Vibe: Effortless Chic / Minimalist Casual. Fit: Relaxed A-line, with a comfortable elasticated waist. Material: Lightweight cotton or linen blend. Care: Machine wash cold. Matches Well With: Tops: A tucked-in fitted knit top in a neutral shade, an oversized linen shirt worn casually, or a simple white t-shirt. Outerwear: A light denim jacket or a long, open cardigan. Shoes: Flat sandals, espadrille wedges, or minimalist white sneakers. Accessories: A large woven tote bag or a simple straw sun hat.",$65.00,Image18.png
Burgundy Knit Fit-and-Flare Dress,"This rich burgundy dress is crafted from a comfortable knit fabric with a subtle cable knit texture, offering warmth and dimension. It features a classic scoop neckline and a sleeveless design, with a fitted bodice that flares out into a playful A-line skirt. This dress provides a flattering silhouette that's both cozy and chic. Style Vibe: Cozy Chic / Autumnal Feminine. Fit: Fitted at the bodice and waist, flaring into an A-line skirt. Material: Soft, textured knit (wool or acrylic blend). Care: Hand wash cold, lay flat to dry. Matches Well With: Outerwear: A chunky knit cardigan in a contrasting cream or grey, or a tailored wool coat. Shoes: Ankle boots, knee-high boots, or classic ballet flats. Accessories: A structured satchel bag or a knitted beanie for warmth.",$70.00,Image19.png
Light Blue Pleated Wide-Leg Trousers,"These stylish light blue trousers feature a high-waisted design with elegant pleats that fall into a generous wide-leg silhouette. The soft pastel hue and flowing cut create a sophisticated yet relaxed aesthetic, perfect for adding a touch of serene color to your wardrobe. They offer both comfort and a distinctly fashion-forward look. Style Vibe: Pastel Chic / Modern Minimalist. Fit: High-waisted, wide-leg, with pleats for volume and drape. Material: Smooth, fluid polyester blend. Care: Machine wash cold, gentle cycle. Matches Well With: Tops: A crisp white button-down shirt, a fitted white or cream knit top, or a delicate silk camisole. Outerwear: A tailored light grey blazer or a long, flowing trench coat. Shoes: White sneakers, espadrille wedges, or pointed-toe flats. Accessories: A structured top-handle bag in a light neutral color or a simple fedora hat.",$88.00,Image20.png
Olive Green Midi Pencil Skirt,"This versatile olive green midi skirt features a sleek, body-skimming pencil silhouette that falls to the knee. Its minimalist design and smooth fabric offer a refined yet comfortable fit, making it a foundational piece for various outfits, from casual to smart-casual. Style Vibe: Minimalist Chic / Everyday Essential. Fit: Fitted pencil silhouette, designed to hug the curves. Material: Smooth, stretchy jersey or Ponte knit blend. Care: Machine wash cold. Matches Well With: Tops: A tucked-in white long-sleeve tee for a clean look, a fitted black turtleneck, or a relaxed-fit silk blouse. Outerwear: A tailored blazer or a long, open cardigan. Shoes: Ankle boots, pointed-toe flats, or minimalist heels. Accessories: A structured shoulder bag or a simple leather tote.",$50.00,Image21.png
Sunny Yellow Linen Shirt,"This vibrant sunny yellow linen shirt is designed for a relaxed and airy fit, perfect for warm weather. It features a classic collar and a single chest pocket, with the ability to be styled loosely or tucked in. The breathable linen fabric ensures comfort and a casually sophisticated look. Style Vibe: Resort Casual / Effortless Summer. Fit: Relaxed, slightly oversized. Material: Lightweight and breathable linen. Care: Machine wash cold, hang to dry. Matches Well With: Bottoms: Matching linen trousers (as implied), white denim jeans, or tailored chino shorts. Inner Tops: A simple white camisole or tank top if worn unbuttoned. Shoes: Flat sandals, espadrille wedges, or boat shoes. Accessories: A large straw beach bag or a wide-brimmed sun hat.",$65.00,Image22.png
White Ribbed Cutout Long-Sleeve Top,"This edgy white long-sleeve top features a unique design with strategic cutouts at the shoulders and chest, creating a bold and contemporary silhouette. Made from a comfortable ribbed knit, it offers a snug fit that highlights the figure. The high neckline adds a touch of modern minimalism. Style Vibe: Urban Chic / Edgy Casual. Fit: Tight-fitting, cropped. Material: Stretchy ribbed knit (cotton blend). Care: Machine wash cold, gentle cycle. Matches Well With: Bottoms: High-waisted jeans, cargo pants, or track pants (as shown). Outerwear: An oversized denim jacket or a bomber jacket. Shoes: Chunky sneakers, combat boots, or platform shoes. Accessories: A mini shoulder bag or a slouchy beanie.",$40.00,Image23.png
Pink Distressed Star Jeans,"These playful pink jeans put a unique spin on classic denim with their distressed detailing and eye-catching star-shaped cutouts, revealing frayed edges. The wide-leg, baggy fit offers a comfortable and fashion-forward silhouette, perfect for a bold and rebellious style. Style Vibe: Y2K / Grunge Revival. Fit: Baggy, wide-leg. Material: Distressed cotton denim. Care: Machine wash cold, inside out. Matches Well With: Tops: A cropped black t-shirt (as shown), an oversized band tee, or a fitted tank top. Outerwear: A cropped puffer jacket or a denim vest. Shoes: Chunky sneakers (as shown), platform boots, or skater shoes. Accessories: A beanie or a mini backpack.",$75.00,Image24.png
Pink Lightweight Oversized Top,"This breezy pink top offers a relaxed and comfortable fit with its oversized silhouette and long, voluminous sleeves. The lightweight, slightly sheer fabric and subtle V-neckline create a soft and feminine aesthetic, ideal for warm weather layering or a laid-back look. Style Vibe: Casual Cozy / Soft Girl Aesthetic. Fit: Oversized, relaxed. Material: Lightweight, breathable knit (polyester or cotton blend). Care: Hand wash cold or machine wash delicate. Matches Well With: Bottoms: Distressed denim shorts (as shown), high-waisted jeans, or a casual mini skirt. Inner Tops: A simple camisole or bralette if desired due to sheerness. Shoes: White sneakers, flat sandals, or canvas shoes. Accessories: A woven tote bag or a simple baseball cap.",$45.00,Image25.png
Light Blue Casual T-shirt,"This versatile light blue t-shirt features a classic crew neck and a relaxed, comfortable fit. Its simple design and soft fabric make it an essential everyday staple, perfect for pairing with a variety of bottoms for a casual and effortless look. Style Vibe: Everyday Casual / Minimalist Comfort. Fit: Regular, slightly relaxed. Material: Soft cotton jersey. Care: Machine wash cold. Matches Well With: Bottoms: Navy cargo pants (as shown), black jeans, or casual chino shorts. Outerwear: A lightweight jacket or an unbuttoned plaid shirt. Shoes: White sneakers, casual boots, or loafers. Accessories: A dark baseball cap or a casual canvas tote bag.",$30.00,Image26.png
White Sheer Overlay Jacket,"This unique white jacket features a sheer, lightweight overlay with distinct layered panels and pockets, creating a deconstructed yet stylish aesthetic. The underlying structure is a simple white top, allowing the sheer layer to add texture and a modern, airy feel. It's an ideal piece for stylish layering in warmer climates. Style Vibe: Contemporary Layering / Urban Chic. Fit: Relaxed, oversized. Material: Sheer polyester overlay with a cotton blend base. Care: Hand wash cold, hang to dry. Matches Well With: Bottoms: White wide-leg trousers, light-wash denim, or tailored shorts. Inner Tops: A simple white ribbed tank top (as shown) or a fitted camisole. Shoes: Platform sandals, white sneakers, or low-heeled mules. Accessories: A mesh tote bag (as shown) or a minimalist shoulder bag.",$70.00,Image27.png
Olive Green High-Waisted Cargo Pants,"These olive green cargo pants combine a flattering high-waisted fit with edgy, utilitarian details. They feature multiple large pockets, a prominent chain detail, and adjustable straps, creating a bold and statement-making look. The tapered leg finishes in a comfortable elasticated cuff, perfect for pairing with chunky footwear. Style Vibe: Grunge / Techwear. Fit: High-waisted, relaxed through the hip and thigh, tapered at the ankle. Material: Durable cotton-nylon blend. Care: Machine wash cold. Matches Well With: Tops: A cropped long-sleeve black top (as shown), a fitted tank top, or an oversized graphic hoodie. Outerwear: A leather biker jacket or a dark bomber jacket. Shoes: Combat boots (as shown), platform sneakers, or chunky lace-up boots. Accessories: A studded belt with chain details or a small, dark-colored backpack.",$79.00,Image28.png
Mustard Yellow Swing Mini Dress,"This cheerful mustard yellow mini dress features a simple crew neck and short sleeves, with a comfortable and flattering swing silhouette that flares gently from the bodice. Its vibrant color and effortless design make it a perfect casual piece for bright, sunny days, offering comfort without compromising on style. Style Vibe: Casual & Bright / Playful Everyday. Fit: Relaxed, A-line swing fit. Material: Soft, stretchy jersey knit (cotton blend). Care: Machine wash cold. Matches Well With: Outerwear: A light denim jacket or a white casual cardigan. Shoes: White sneakers, flat sandals, or espadrille wedges. Accessories: A canvas tote bag with a fun print or a wide-brimmed straw hat.",$45.00,Image29.png
Men's Navy Blue Pleated Trousers,"These sophisticated navy blue trousers feature subtle front pleats and a refined straight-leg cut, offering a polished yet comfortable silhouette. The dark, versatile color makes them suitable for both formal and smart-casual occasions, providing a sharp and classic addition to any menswear wardrobe. Style Vibe: Classic Formal / Smart Casual. Fit: Regular fit, straight-leg with a slight taper. Material: Smooth wool blend or polyester blend. Care: Dry clean recommended or machine wash cold on delicate. Matches Well With: Tops: A crisp white dress shirt, a light blue checkered button-down (as shown), or a fine-gauge knit sweater. Outerwear: A tailored blazer, a trench coat, or a smart casual jacket. Shoes: Leather dress shoes (oxfords or derbies), polished loafers, or minimalist leather sneakers. Accessories: A classic leather belt or a structured briefcase.",$70.00,Image30.png
Olive Green Tie-Waist Cargo Pants,"These stylish olive green cargo pants feature a high-waisted design with multiple functional flap pockets and a unique integrated self-tie belt, allowing for a cinched waist and a customized fit. The relaxed, straight-leg cut offers both comfort and a modern utility-inspired aesthetic, making them a versatile piece for casual and streetwear looks. Style Vibe: Urban Utility / Safari Chic. Fit: High-waisted, relaxed straight-leg, with an adjustable tie-waist. Material: Durable cotton twill. Care: Machine wash cold. Matches Well With: Tops: A black cropped top (as shown), a simple white tank, or a fitted long-sleeve tee. Outerwear: A denim jacket or a lightweight bomber jacket. Shoes: Chunky sneakers, combat boots, or casual flat sandals. Accessories: A black baseball cap or a canvas tote bag.",$75.00,Image31.png
White Tiered Lace Midi Skirt,"This ethereal white midi skirt features multiple tiers of lightweight fabric, with delicate lace trim peeking out from beneath each layer, adding a touch of romantic detail. The elasticated high waist ensures comfort and a flattering fit, while the flowy silhouette creates a whimsical and elegant look. Style Vibe: Boho Romantic / Gothic Lolita. Fit: High-waisted, relaxed A-line, tiered. Material: Lightweight cotton blend with lace trim. Care: Hand wash cold or gentle machine wash. Matches Well With: Tops: A black long-sleeve crop top (as shown), a delicate camisole, or an oversized knit sweater for contrast. Outerwear: A short, fitted leather jacket or a cropped denim jacket. Shoes: Chunky platform boots (as shown), delicate ballet flats, or simple canvas sneakers. Accessories: A wide-brimmed hat or a bohemian-style shoulder bag.",$68.00,Image32.png
Navy V-Neck Tiered Maxi Dress,"This classic navy maxi dress features a flattering V-neckline and a relaxed, tiered silhouette that drapes gracefully to a midi length. The sleeveless design and airy fabric make it ideal for warmer weather, offering both comfort and understated elegance for various casual and semi-formal occasions. Style Vibe: Resort Chic / Effortless Summer. Fit: Relaxed, flowing tiered maxi dress with a flattering V-neck. Material: Lightweight, breathable cotton or linen blend. Care: Machine wash cold, gentle cycle. Matches Well With: Outerwear: A light white denim jacket or a short, open-knit cardigan. Shoes: Flat sandals (as shown), espadrille wedges, or low block heels. Accessories: A wide-brimmed straw hat or a large canvas tote bag.",$85.00,Image33.png
Yellow A-Line Mini Skater Skirt,"This vibrant yellow mini skirt features a classic A-line skater silhouette, with a comfortable high-waisted fit that flares out playfully. The solid, bright color makes it a cheerful and energetic piece, perfect for adding a pop of color to a casual or youthful outfit. Style Vibe: Playful Pop / Preppy Casual. Fit: High-waisted, A-line skater skirt. Material: Textured polyester blend with some stretch. Care: Machine wash cold. Matches Well With: Tops: A white cropped tank top (as shown), a fitted graphic tee, or a simple black long-sleeve top. Outerwear: A cropped denim jacket or a light bomber jacket. Shoes: White sneakers, chunky platform shoes, or ankle boots. Accessories: A mini shoulder bag (as shown) or a bright baseball cap.",$35.00,Image34.png
Yellow Sheer Wide-Leg Beach Pants,"These bright yellow wide-leg pants are designed with a sheer, lightweight fabric, making them an ideal cover-up or statement piece for warm weather. They feature a comfortable drawstring waist and a relaxed, flowing silhouette that offers an airy and effortlessly chic look by the water or in sunny destinations. Style Vibe: Vacation Glam / Resort Wear. Fit: Relaxed, wide-leg, sheer, with an adjustable drawstring waist. Material: Lightweight, sheer polyester or chiffon. Care: Hand wash cold, hang to dry. Matches Well With: Tops: A white or black swimsuit top (as shown), a simple bandeau, or a flowy crop top. Outerwear: A sheer kimono or a light linen shirt. Shoes: Flat sandals, espadrilles, or wedges. Accessories: A large straw beach bag or a wide-brimmed sun hat.",$48.00,Image35.png
Navy Utility Midi Skirt with Belt,"This versatile navy midi skirt combines a comfortable elasticated waist with practical utility details, including multiple pockets and an integrated webbed belt with a buckle closure. The A-line silhouette offers a relaxed fit that’s both functional and stylish, perfect for an active casual look. Style Vibe: Gorpcore / Casual Utility. Fit: Relaxed A-line, midi length, with an elasticated waist and adjustable belt. Material: Durable cotton blend. Care: Machine wash cold. Matches Well With: Tops: A simple t-shirt, a fitted long-sleeve top, or a casual hoodie. Outerwear: A lightweight windbreaker or a utility vest. Shoes: Hiking boots, chunky sneakers, or sturdy sandals. Accessories: A practical cross-body bag or a beanie.",$62.00,Image36.png
